date,racetrack,event_name,grade,event_type
2022/12/7,飯塚,令和４年度飯塚市営　飯塚ミッドナイト　１２／５～,普通,ミッドナイト
2022/12/8,伊勢崎,令和４年度伊勢崎市営　普通開催　１２／５～,普通,デイ
2022/12/8,山陽,令和４年度山陽小野田市営　山陽ミッドナイト　１２／８～,普通,ミッドナイト
2022/12/9,山陽,令和４年度山陽小野田市営　山陽ミッドナイト　１２／８～,普通,ミッドナイト
2022/12/9,川口,令和４年度川口市営　普通開催　１２／９～,普通,デイ
2022/12/10,山陽,令和４年度山陽小野田市営　山陽ミッドナイト　１２／８～,普通,ミッドナイト
2022/12/10,川口,令和４年度川口市営　普通開催　１２／９～,普通,デイ
2022/12/11,川口,令和４年度川口市営　普通開催　１２／９～,普通,デイ
2022/12/11,飯塚,令和４年度飯塚市営　普通開催　１２／１１～,普通,ナイター
2022/12/12,川口,令和４年度川口市営　普通開催　１２／９～,普通,デイ
